CdStationMesureEauxSurface;LbStationMesureEauxSurface;DurStationMesureEauxSurface;CoordXStationMesureEauxSurface;CoordYStationMesureEauxSurface;CdProjStationMesureEauxSurface;LibelleProjection;CodeCommune;LbCommune;CodeDepartement;LbDepartement;CodeRegion;LbRegion;CdMasseDEau;CdEuMasseDEau;NomMasseDEau;CdEuSsBassinDCEAdmin;NomSsBassinDCEAdmin;CdBassinDCE;CdEuBassinDCE;NomEuBassinDCE;CdTronconHydrographique;CdCoursdEau;NomCoursdEau;CodeTypEthStationMesureEauxSurface;LibelleTypEthStationMesureEauxSurface;ComStationMesureEauxSurface;DateCreationStationMesureEauxSurface;DateArretActiviteStationMesureEauxSurface;DateMAJInfosStationMesureEauxSurface;FinaliteStationMesureEauxSurface;LocPreciseStationMesureEauxSurface;CodeNatureStationMesureEauxSurface;LibelleNatureStationMesureEauxSurface;AltitudePointCaracteritisque;PkPointTronconEntiteHydroPrincipale;PremierMoisAnneeEtiage;SuperficieBassinVersantReel;SuperficieBassinVersantTopo
"03176360";"L'AUNETTE A ENENCOURT-LEAGE 1";;615881;6911697;"26";"RGF93 / Lambert 93";"60208";"Énencourt-Léage";"60";"Oise";"32";"Hauts-de-France";"HR236-H3136000";"FRHR236-H3136000";"ruisseau l Aunette";"FRH_SEAV";"Seine aval";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H3136000";"H3136000";"L'Aunette";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2018-08-28;;"Non renseignée";"M";"Station de mesure Manuelle";72;;;;
"03176395";"L'AUNETTE A TRIE-CHATEAU 1";;614860;6909754;"26";"RGF93 / Lambert 93";"60644";"Trie-Château";"60";"Oise";"32";"Hauts-de-France";"HR236-H3136000";"FRHR236-H3136000";"ruisseau l Aunette";"FRH_SEAV";"Seine aval";"H";"FRH";"La Seine et les cours d'eau côtiers normands";;"H3136000";"L'Aunette";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2018-08-28;;"Non renseignée";"M";"Station de mesure Manuelle";61;;;;
"03176470";"LA TROÉSNE A TRIE-CHATEAU 1";;614243;6909997;"26";"RGF93 / Lambert 93";"60644";"Trie-Château";"60";"Oise";"32";"Hauts-de-France";"HR236";"FRHR236";"La Troesne de sa source au confluent de l Epte  exclu";"FRH_SEAV";"Seine aval";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H3130600";"H3130600";"La Troesne";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2014-08-29;;"Non renseignée";"M";"Station de mesure Manuelle";58;;;;
"03176670";"LE RÉVEILLON A REILLY 1";;616209;6905419;"26";"RGF93 / Lambert 93";"60528";"Reilly";"60";"Oise";"32";"Hauts-de-France";"HR237-H3141000";"FRHR237-H3141000";"le Reveillon";"FRH_SEAV";"Seine aval";"H";"FRH";"La Seine et les cours d'eau côtiers normands";;"H3141000";"Le Reveillon";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2018-08-28;;"Non renseignée";"M";"Station de mesure Manuelle";80;;;;
"03176680";"LE RÉVEILLON A CHAMBORS 1";;613690;6907325;"26";"RGF93 / Lambert 93";"60140";"Chambors";"60";"Oise";"32";"Hauts-de-France";"HR237-H3141000";"FRHR237-H3141000";"le Reveillon";"FRH_SEAV";"Seine aval";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H3141000";"H3141000";"Le Reveillon";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2015-11-26;;"Non renseignée";"M";"Station de mesure Manuelle";63;;;;
"03176689";"LE RÉVEILLON A CHAMBORS 2";;612722;6907932;"26";"RGF93 / Lambert 93";"60140";"Chambors";"60";"Oise";"32";"Hauts-de-France";"HR237-H3141000";"FRHR237-H3141000";"le Reveillon";"FRH_SEAV";"Seine aval";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H3141000";"H3141000";"Le Reveillon";"2";"Station qualité située sur un cours d'eau";;2009-01-19;;2014-08-29;;"Non renseignée";"M";"Station de mesure Manuelle";59;;;;
"03176745";"L'EPTE A COURCELLES-LES-GISORS 1";;608433;6908384;"26";"RGF93 / Lambert 93";"60169";"Courcelles-lès-Gisors";"60";"Oise";"32";"Hauts-de-France";"HR237";"FRHR237";"L Epte du confluent de la Troesne  exclu  au confluent de la Levriere  exclu";"FRH_SEAV";"Seine aval";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H3140400";"H31-0400";"L'Epte";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2013-07-29;;"Non renseignée";"M";"Station de mesure Manuelle";46;;;;
"03177400";"LE RUISSEAU D'HÉROUVAL A BOURY-EN-VEXIN 1";;606265.32;6905540.54;"26";"RGF93 / Lambert 93";"60095";"Boury-en-Vexin";"60";"Oise";"32";"Hauts-de-France";"HR239-H3161000";"FRHR239-H3161000";"ruisseau d Herouval";"FRH_SEAV";"Seine aval";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H3161000";"H3161000";"Ruisseau d'Herouval";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2013-07-01;;"Non renseignée";"M";"Station de mesure Manuelle";45;;;;
"03207220";"LA BRESLE A LANNOY-CUILLERE 1";;610044;6958725;"26";"RGF93 / Lambert 93";"60347";"Lannoy-Cuillère";"60";"Oise";"32";"Hauts-de-France";"HR159";"FRHR159";"La Bresle de sa source au confluent de la Vimeuse  inclus";"FRH_SEAV";"Seine aval";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"G0100400";"G01-0400";"La Bresle";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2015-12-16;;"Non renseignée";"M";"Station de mesure Manuelle";150;;;;
"03207285";"LE RUISSEAU DU MÉNILLET A QUINCAMPOIX-FLEUZY 1";;611442;6961678;"26";"RGF93 / Lambert 93";"60521";"Quincampoix-Fleuzy";"60";"Oise";"32";"Hauts-de-France";"HR159-G0111000";"FRHR159-G0111000";"ruisseau du Menillet";"FRH_SEAV";"Seine aval";"H";"FRH";"La Seine et les cours d'eau côtiers normands";;"G0111000";"Ruisseau du Menillet";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2015-11-13;;"Non renseignée";"M";"Station de mesure Manuelle";137;;;;
"03277651";"LE CANAL LATÉRAL À L'OISE A SEMPIGNY 1";;699390;6940274;"26";"RGF93 / Lambert 93";"60610";"Sempigny";"60";"Oise";"32";"Hauts-de-France";"HR514";"FRHR514";"canal lateral a l Oise";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";;;;"2";"Station qualité située sur un cours d'eau";;2006-03-27;;2020-10-02;;"Non renseignée";"M";"Station de mesure Manuelle";0;;;;
"03277658";"LE CANAL LATÉRAL À L'OISE A CHIRY-OURSCAMPS 1";;697650;6938502;"26";"RGF93 / Lambert 93";"60150";"Chiry-Ourscamp";"60";"Oise";"32";"Hauts-de-France";"HR513";"FRHR513";"canal lateral a l Oise";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H0323102";"H0--3102";"Canal Latéral à l'Oise";"2";"Station qualité située sur un cours d'eau";;2006-03-27;;2016-04-18;;"Non renseignée";"M";"Station de mesure Manuelle";37;;;;
